Composition (A.M.%);S-to-L Ratio (%);Comma gap (µm);Viscosity (Pas);Mass Loading (mg cm-2) ;Porosity (%);
95;67,7085193784604;300;7,25;36,4941652867368;47,5302953187178;
95;67,7085193784604;300;7,25;36,3510228459181;47,4262954218546;
95;67,7085193784604;300;7,25;35,6353106418244;47,2097185675117;
95;67,7085193784604;300;7,25;37,3530199316492;47,8026436603874;
95;67,7085193784604;300;7,25;37,6393048132867;47,7616139871599;
96;70,835317325352;50;2,46;7,3699072341843;54,9215106512443;
96;70,835317325352;50;2,46;7,65920683120822;54,8913981730553;
96;70,835317325352;50;2,46;7,44223213344028;54,8275049693345;
96;70,835317325352;50;2,46;7,15293253641637;55,678970649476;
96;70,835317325352;50;2,46;7,15293253641637;56,1358884778319;
96;70,835317325352;50;2,46;6,71898314088049;56,5577144063268;
96;70,835317325352;50;2,46;7,00828273790441;55,4141607489535;
96;70,835317325352;50;2,46;7,51455703269627;55,188712412592;
96;70,835317325352;200;5,38;28,9950521117222;47,0536030178158;
96;70,835317325352;200;5,38;28,6334276154423;47,5125371409774;
96;70,835317325352;200;5,38;28,1271533206504;47,1790632016362;
96;70,835317325352;200;5,38;28,6334276154423;47,4720687810244;
96;70,835317325352;200;5,38;28,5611027161863;47,197637066312;
96;70,835317325352;200;5,38;28,7780774139542;46,7965049093075;
96;70,835317325352;200;5,38;27,5485541266026;47,0109609048604;
96;70,835317325352;200;5,38;29,2120268094901;47,2244401261574;
96;70,835317325352;300;6,25;40,9286604889588;47,274880887197;
96;70,835317325352;300;6,25;41,4349347837506;47,1944858763623;
96;70,835317325352;300;6,25;41,3626098844946;47,845358148661;
96;70,835317325352;300;6,25;40,9286604889588;48,7456342098173;
96;70,835317325352;300;6,25;41,2902849852387;47,378830488419;
96;70,835317325352;300;6,25;41,5072596830066;46,8174579622044;
96;70,835317325352;300;6,25;41,5795845822626;47,848146410363;
96;70,835317325352;300;6,25;39,988436798631;46,7564740001493;
96;70,835317325352;400;7,26;51,4157708810758;46,9719458917165;
96;70,835317325352;400;7,26;52,6452941684274;45,9382055896229;
96;70,835317325352;400;7,26;51,7050704780997;46,2072306037474;
96;70,835317325352;400;7,26;52,6452941684274;47,302828082102;
96;70,835317325352;400;7,26;54,236441952059;45,9375521798694;
96;70,835317325352;400;7,26;54,8150411461068;46,128150140648;
96;70,835317325352;400;7,26;53,0792435639633;45,9590535639824;
96;70,835317325352;400;7,26;53,6578427580112;46,5142951890187;
95;65,0244798041616;50;1,71;5,43236557255801;59,5925557608545;
95;65,0244798041616;50;1,71;5,28922023467769;58,7718781479963;
95;65,0244798041616;50;1,71;5,00292955891706;60,3703798761299;
95;65,0244798041616;50;1,71;5,50393824149817;58,9349801351039;
95;65,0244798041616;50;1,71;5,21764756573753;59,199415531103;
95;65,0244798041616;50;1,71;5,50393824149817;59,4312341515981;
95;65,0244798041616;50;1,71;5,21764756573753;60,7105482892103;
95;65,0244798041616;50;1,71;4,9313568899769;59,7615277164859;
95;65,0244798041616;200;3,73;22,1087974356149;48,4813259749;
95;65,0244798041616;200;3,73;23,1823874697172;47,5330719063089;
95;65,0244798041616;200;3,73;24,6138408485204;48,9355916729381;
95;65,0244798041616;200;3,73;23,1823874697172;47,4843560956369;
95;65,0244798041616;200;3,73;22,0372247666747;48,6481070497627;
95;65,0244798041616;200;3,73;24,0412594969991;47,3002822016402;
95;65,0244798041616;200;3,73;23,0392421318369;48,2887682481725;
95;65,0244798041616;200;3,73;22,3950881113755;49,7345622393699;
